id,collected_at,rate_date,series_key,series_label,rate,source
458,2026-06-13T20:17:19.948336,2026-03-27,gov_bond_2y,Statsobligation 2 år,2.534,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
961,2026-06-13T20:30:40.552689,2026-03-27,gov_bond_5y,Statsobligation 5 år,2.689,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
208,2026-06-13T20:30:40.256476,2026-03-27,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
457,2026-06-13T20:17:19.947004,2026-03-26,gov_bond_2y,Statsobligation 2 år,2.511,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
960,2026-06-13T20:30:40.551573,2026-03-26,gov_bond_5y,Statsobligation 5 år,2.687,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
207,2026-06-13T20:30:40.255308,2026-03-26,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
456,2026-06-13T20:17:19.945647,2026-03-25,gov_bond_2y,Statsobligation 2 år,2.446,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
959,2026-06-13T20:30:40.550413,2026-03-25,gov_bond_5y,Statsobligation 5 år,2.625,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
206,2026-06-13T20:30:40.254188,2026-03-25,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
455,2026-06-13T20:17:19.944494,2026-03-24,gov_bond_2y,Statsobligation 2 år,2.453,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
958,2026-06-13T20:30:40.549215,2026-03-24,gov_bond_5y,Statsobligation 5 år,2.617,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
205,2026-06-13T20:30:40.253060,2026-03-24,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
454,2026-06-13T20:17:19.943318,2026-03-23,gov_bond_2y,Statsobligation 2 år,2.329,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
957,2026-06-13T20:30:40.548043,2026-03-23,gov_bond_5y,Statsobligation 5 år,2.537,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
204,2026-06-13T20:30:40.251913,2026-03-23,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
453,2026-06-13T20:17:19.942033,2026-03-20,gov_bond_2y,Statsobligation 2 år,2.476,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
956,2026-06-13T20:30:40.546872,2026-03-20,gov_bond_5y,Statsobligation 5 år,2.639,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
203,2026-06-13T20:30:40.250787,2026-03-20,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
452,2026-06-13T20:17:19.940846,2026-03-19,gov_bond_2y,Statsobligation 2 år,2.307,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
955,2026-06-13T20:30:40.545737,2026-03-19,gov_bond_5y,Statsobligation 5 år,2.492,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
202,2026-06-13T20:30:40.249681,2026-03-19,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
451,2026-06-13T20:17:19.939678,2026-03-18,gov_bond_2y,Statsobligation 2 år,2.199,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
954,2026-06-13T20:30:40.544597,2026-03-18,gov_bond_5y,Statsobligation 5 år,2.444,https://api.riksbank.se/swea/v1/observations/SEGVB5YC
201,2026-06-13T20:30:40.248590,2026-03-18,policy_rate,Riksbankens styrränta,1.75,https://api.riksbank.se/swea/v1/observations/SECBREPOEFF
450,2026-06-13T20:17:19.938454,2026-03-17,gov_bond_2y,Statsobligation 2 år,2.138,https://api.riksbank.se/swea/v1/observations/SEGVB2YC
